Employee #,Last Name,First Name,Hourly Rate,Gross Semi-monthly Rate,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance
10001,Garcia,Manuel III,535.71,"45,000","90,000","1,500","2,000","1,000"
10002,Lim,Antonio,357.14,"30,000","60,000","1,500","2,000","1,000"
10003,Aquino,Bianca Sofia,357.14,"30,000","60,000","1,500","2,000","1,000"
10004,Reyes,Isabella,357.14,"30,000","60,000","1,500","2,000","1,000"
10005,Hernandez,Eduard,313.51,"26,335","52,670","1,500","1,000","1,000"
10006,Villanueva,Andrea Mae,313.51,"26,335","52,670","1,500","1,000","1,000"
10007,San Jose,Brad ,255.80,"21,488","42,975","1,500",800,800
10008,Romualdez,Alice,133.93,"11,250","22,500","1,500",500,500
10009,Atienza,Rosie ,133.93,"11,250","22,500","1,500",500,500
10010,Alvaro,Roderick,313.51,"26,335","52,670","1,500","1,000","1,000"
10011,Salcedo,Anthony,302.53,"25,413","50,825","1,500","1,000","1,000"
10012,Lopez,Josie ,229.02,"19,238","38,475","1,500",800,800
10013,Farala,Martha,142.86,"12,000","24,000","1,500",500,500
10014,Martinez,Leila,142.86,"12,000","24,000","1,500",500,500
10015,Romualdez,Fredrick ,318.45,"26,750","53,500","1,500","1,000","1,000"
10016,Mata,Christian,255.80,"21,488","42,975","1,500",800,800
10017,De Leon,Selena ,249.11,"20,925","41,850","1,500",800,800
10018,San Jose,Allison ,133.93,"11,250","22,500","1,500",500,500
10019,Rosario,Cydney ,133.93,"11,250","22,500","1,500",500,500
10020,Bautista,Mark ,138.39,"11,625","23,250","1,500",500,500
10021,Lazaro,Darlene ,138.39,"11,625","23,250","1,500",500,500
10022,Delos Santos,Kolby ,142.86,"12,000","24,000","1,500",500,500
10023,Santos,Vella ,133.93,"11,250","22,500","1,500",500,500
10024,Del Rosario,Tomas,133.93,"11,250","22,500","1,500",500,500
10025,Tolentino,Jacklyn ,142.86,"12,000","24,000","1,500",500,500
10026,Gutierrez,Percival ,147.32,"12,375","24,750","1,500",500,500
10027,Manalaysay,Garfield ,147.32,"12,375","24,750","1,500",500,500
10028,Villegas,Lizeth ,142.86,"12,000","24,000","1,500",500,500
10029,Ramos,Carol ,133.93,"11,250","22,500","1,500",500,500
10030,Maceda,Emelia ,133.93,"11,250","22,500","1,500",500,500
10031,Aguilar,Delia ,133.93,"11,250","22,500","1,500",500,500
10032,Castro,John Rafael,313.51,"26,335","52,670","1,500","1,000","1,000"
10033,Martinez,Carlos Ian,313.51,"26,335","52,670","1,500","1,000","1,000"
10034,Santos,Beatriz,313.51,"26,335","52,670","1,500","1,000","1,000"
